,IP adress,Port,Wordpress Version,Website,DT,Time
0,188.121.41.140,"['200', '8955']",WordPress/3.0.2;,http://www.cakefantasia.com,23/Sep/2013,13:02:47
1,81.169.144.135,"['200', '8955']",WordPress/3.6.1;,http://aifs2.pvdveen.net,23/Sep/2013,13:02:47
2,91.184.18.50,"['200', '8955']",WordPress/3.5.1;,http://sociedia.com,23/Sep/2013,13:02:47
3,184.154.224.17,"['200', '8955']",WordPress/3.6;,http://photekusa.com,23/Sep/2013,13:02:47
4,209.15.245.58,"['200', '8955']",WordPress/3.5.2;,http://enabledkids.ca,23/Sep/2013,13:02:47
5,66.96.183.15,"['200', '8955']",WordPress/3.6;,http://guyana-tourism.com/blog,23/Sep/2013,13:02:47
6,70.32.98.112,"['200', '8955']",WordPress/3.6.1;,http://demo.gavick.com/wordpress/fest,23/Sep/2013,13:02:47
7,208.117.12.162,"['200', '8955']",WordPress/2.9.2;,http://www.caudillsprouting.com/Latest-News,23/Sep/2013,13:02:47
8,184.168.193.106,"['200', '8955']",WordPress/3.5.2;,http://prestogolf.ca/wordpress,23/Sep/2013,13:02:47
9,76.163.252.93,"['200', '8955']",WordPress/3.5.2;,http://thevoterupdate.com/jones,23/Sep/2013,13:02:47
10,67.192.46.11,"['200', '8955']",WordPress/3.5;,http://analytics-lab.tessella.com,23/Sep/2013,13:02:48
11,216.201.128.7,"['200', '8955']",WordPress/3.5;,http://www.theleadernews.com,23/Sep/2013,13:02:48
12,173.201.183.168,"['200', '8955']",WordPress/3.5.2;,http://clonador.net/blog,23/Sep/2013,13:02:48
13,209.235.204.197,"['200', '8955']",WordPress/3.5.1;,http://www.imsglobal.org/blog,23/Sep/2013,13:02:48
14,50.97.97.131,"['200', '8955']",WordPress/3.6.1;,http://awaminationalparty.org/main,23/Sep/2013,13:02:48
15,31.22.4.57,"['200', '8955']",WordPress/3.5.2;,http://harvestmoonparadise.com/wp2,23/Sep/2013,13:02:48
16,64.111.126.29,"['200', '8955']",WordPress/3.6.1;,http://3aocubo.net,23/Sep/2013,13:02:48
17,67.43.13.244,"['200', '8955']",WordPress/3.6;,http://blog.aristadba.com,23/Sep/2013,13:02:48
18,108.175.6.57,"['200', '8955']",WordPress/3.5.1;,http://spcitytimes.com,23/Sep/2013,13:02:49
19,50.56.33.56,"['200', '8955']",WordPress/3.5.2;,http://50.56.33.56/blog,23/Sep/2013,13:02:49
20,192.185.4.20,"['200', '8955']",WordPress/3.4.2;,http://www.dhbrownsports.com,23/Sep/2013,13:02:49
21,65.98.110.82,"['200', '8955']",WordPress/3.1.3;,http://davasobel.com/blog,23/Sep/2013,13:02:50
22,74.52.155.18,"['200', '8955']",WordPress/3.5.2;,http://mixedmoods.co.uk,23/Sep/2013,13:02:49
23,64.90.55.213,"['200', '8955']",WordPress/3.5.1;,http://www.steppir.com,23/Sep/2013,13:02:50
24,66.33.212.115,"['200', '8955']",WordPress/3.5.1;,http://www.dsafire.net,23/Sep/2013,13:02:50
25,97.74.24.44,"['200', '8955']",WordPress/3.0;,http://www.anarchylane.com/ass/skat,23/Sep/2013,13:02:50
26,108.59.11.107,"['200', '8955']",WordPress/3.5.1;,http://pixelsea.biz,23/Sep/2013,13:02:50
27,50.116.58.175,"['200', '8955']",WordPress/3.5.1;,http://readydock.net,23/Sep/2013,13:02:50
28,97.74.144.179,"['200', '8955']",WordPress/3.0;,http://kentscountrycookies.com/blog,23/Sep/2013,13:02:50
29,80.82.113.174,"['200', '8955']",WordPress/3.0;,http://www.davidcoxon.com/run,23/Sep/2013,13:02:50
30,74.126.5.225,"['200', '8955']",WordPress/2.9.2;,http://www.amray.com/blog,23/Sep/2013,13:02:51
31,66.185.31.230,"['200', '8955']",WordPress/3.3;,http://berkeleyreporter.com,23/Sep/2013,13:02:51
32,89.151.72.46,"['200', '8955']",WordPress/3.3.2;,http://www.bohomoth.com,23/Sep/2013,13:02:51
33,216.15.166.170,"['200', '8955']",WordPress/3.3.2;,http://evisthrive.com/blog,23/Sep/2013,13:02:51
34,72.167.131.144,"['503', '913']",WordPress/3.6;,http://sidelinemp.com/wordpress,23/Sep/2013,13:03:01
35,184.168.152.137,"['200', '8955']",WordPress/3.5.1;,http://paulinafilm.com/newsevents,23/Sep/2013,13:02:51
36,66.175.213.226,"['200', '8955']",WordPress/3.5;,http://www.sportimeny.com/blog,23/Sep/2013,13:02:51
37,184.168.193.61,"['503', '913']",WordPress/3.5.1;,http://metroshorespropertymanagement.com,23/Sep/2013,13:03:02
38,81.169.144.135,"['503', '913']",WordPress/3.6.1;,http://aifs2.pvdveen.net,23/Sep/2013,13:03:02
39,129.121.178.238,"['503', '913']",WordPress/3.5.1;,http://www.bearandbuffalo.com,23/Sep/2013,13:03:02
40,128.140.217.249,"['503', '913']",WordPress/3.5.1;,http://www.brainrack.nl,23/Sep/2013,13:03:03
41,128.140.217.249,"['503', '913']",WordPress/3.5.1;,http://www.brainrack.nl,23/Sep/2013,13:03:03
42,66.155.8.148,"['503', '913']",WordPress/3.7-alpha-25157;,http://undergradatrady.wordpress.com,23/Sep/2013,13:03:02
43,130.39.20.44,"['503', '913']",WordPress/3.6.1;,http://hill.blogs.lib.lsu.edu,23/Sep/2013,13:03:03
44,50.87.144.176,"['503', '913']",WordPress/3.0.1;,http://www.iheartwellness.com,23/Sep/2013,13:03:02
45,193.202.110.182,"['503', '913']",WordPress/3.6.1;,http://salaanmedia.com,23/Sep/2013,13:03:03
46,50.56.33.56,"['503', '913']",WordPress/3.5.2;,http://50.56.33.56/blog,23/Sep/2013,13:03:03
47,50.56.33.56,"['503', '913']",WordPress/3.5.2;,http://50.56.33.56/blog,23/Sep/2013,13:03:03
48,37.139.18.243,"['200', '8955']",WordPress/3.6.1;,http://ryanteck.org.uk,23/Sep/2013,13:02:51
49,74.207.251.137,"['503', '913']",WordPress/3.5.2;,http://vedahille.com,23/Sep/2013,13:03:03
50,50.63.196.71,"['503', '913']",WordPress/3.5.1;,http://caitlinburke.siuc.me,23/Sep/2013,13:03:03
51,184.168.27.206,"['503', '913']",WordPress/3.5.1;,http://alsogo.com,23/Sep/2013,13:03:02
52,184.168.192.14,"['503', '913']",WordPress/3.5.1;,http://kolemusician.com/blog,23/Sep/2013,13:03:03
53,163.1.78.39,"['503', '913']",WordPress/3.5;,http://www.culturesofknowledge.org,23/Sep/2013,13:03:03
54,66.155.8.235,"['503', '913']",WordPress/3.7-alpha-25157;,http://iosinsanity.wordpress.com,23/Sep/2013,13:03:03
55,130.185.84.2,"['200', '8955']",WordPress/3.2.1;,http://www.gerirepoupar.com/jovens,23/Sep/2013,13:02:51
56,50.56.33.56,"['503', '913']",WordPress/3.5.2;,http://50.56.33.56/blog,23/Sep/2013,13:03:03
57,94.136.40.100,"['503', '913']",WordPress/3.5.1;,http://www.disordermagazine.com,23/Sep/2013,13:03:03
58,107.21.101.48,"['503', '913']",WordPress/3.5.1;,http://lmonson.com/blog,23/Sep/2013,13:03:03
59,67.210.98.240,"['503', '913']",WordPress/3.6.1;,http://www.easytolovebut.com,23/Sep/2013,13:03:03
60,184.168.193.176,"['200', '8955']",WordPress/3.6;,http://kitfrazier.com/wordpress,23/Sep/2013,13:02:52
61,66.33.212.115,"['503', '913']",WordPress/3.5.1;,http://www.dsafire.net,23/Sep/2013,13:03:03
62,184.168.193.137,"['503', '913']",WordPress/3.6.1;,http://bellevuesitedesign.com,23/Sep/2013,13:03:04
63,69.167.181.227,"['503', '913']",WordPress/3.6.1;,http://www.jphoffmanlaw.com,23/Sep/2013,13:03:03
64,67.192.4.115,"['503', '913']",WordPress/3.5.1;,http://blogs.agu.org/georneys,23/Sep/2013,13:03:04
65,193.202.110.182,"['503', '913']",WordPress/3.6.1;,http://salaanmedia.com,23/Sep/2013,13:03:04
66,130.39.20.44,"['503', '913']",WordPress/3.6.1;,http://hill.blogs.lib.lsu.edu,23/Sep/2013,13:03:04
67,50.28.77.10,"['503', '913']",WordPress/3.5.2;,http://secretwalls.com.au/blog,23/Sep/2013,13:03:04
68,41.204.202.51,"['503', '913']",WordPress/3.4.2;,http://www.stevebekker.co.za,23/Sep/2013,13:03:04
69,72.172.136.206,"['503', '913']",WordPress/3.0.1;,http://www.hazardfactory.org,23/Sep/2013,13:03:04
70,213.251.189.209,"['503', '913']",WordPress/3.4.2;,http://www.science-humour.fr,23/Sep/2013,13:03:04
71,205.251.135.202,"['503', '913']",WordPress/3.5.2;,http://www.wizdommusic.com/news,23/Sep/2013,13:03:04
72,69.10.135.179,"['503', '913']",WordPress/3.5.1;,http://calkosher.com,23/Sep/2013,13:03:04
73,146.186.149.140,"['503', '913']",WordPress/3.6.1;,http://sites.psu.edu/librarynews,23/Sep/2013,13:03:04
74,77.75.252.233,"['503', '913']",WordPress/3.5.1;,http://blog.metaclassofnil.com,23/Sep/2013,13:03:04
75,184.168.152.177,"['503', '913']",WordPress/3.5.1;,http://aboutcolonblank.com,23/Sep/2013,13:03:04
76,208.97.177.197,"['503', '913']",-,,23/Sep/2013,13:03:04
77,94.136.40.100,"['503', '913']",WordPress/3.3.1;,http://www.chrisspivey.co.uk,23/Sep/2013,13:03:04
78,66.155.8.249,"['503', '913']",WordPress/3.7-alpha-25157;,http://badpandarecords.wordpress.com,23/Sep/2013,13:03:04
79,81.19.187.39,"['503', '913']",WordPress/3.5.2;,http://danhamilton.co.uk/blog,23/Sep/2013,13:03:04
80,92.61.33.82,"['503', '913']",WordPress/3.4.1;,http://colemont.lt,23/Sep/2013,13:03:04
81,46.163.113.172,"['503', '913']",WordPress/3.2.1;,http://philipp.knechtges.com,23/Sep/2013,13:03:04
82,50.87.144.19,"['503', '913']",WordPress/3.1.4;,http://moviecultists.com,23/Sep/2013,13:03:04
83,108.59.250.36,"['503', '913']",WordPress/3.5.1;,http://wpdemo.themnific.com/pre/12,23/Sep/2013,13:03:04
84,66.96.183.86,"['503', '913']",WordPress/3.6.1;,http://www.foamcasualty.com,23/Sep/2013,13:03:04
85,203.194.220.56,"['503', '913']",WordPress/3.4.2;,http://www.bruce-humes.com,23/Sep/2013,13:03:04
86,50.63.196.71,"['503', '913']",WordPress/3.5.1;,http://caitlinburke.siuc.me,23/Sep/2013,13:03:05
87,50.87.144.19,"['503', '913']",WordPress/3.1.4;,http://moviecultists.com,23/Sep/2013,13:03:05
88,64.90.52.159,"['503', '913']",WordPress/3.6.1;,http://carolsnotebook.com,23/Sep/2013,13:03:05
89,82.71.31.78,"['503', '913']",WordPress/3.6.1;,http://www.linuxhome.co.uk,23/Sep/2013,13:03:05
90,82.165.139.53,"['503', '913']",WordPress/3.5.1;,http://chakra-project.es,23/Sep/2013,13:03:05
91,74.54.18.226,"['200', '8955']",WordPress/3.5.2;,http://digitalliteracynh.org,23/Sep/2013,13:02:52
92,69.16.199.12,"['503', '913']",WordPress/3.5.2;,http://www.newbedfordguide.com,23/Sep/2013,13:03:04
93,128.39.102.143,"['503', '913']",WordPress/3.5.1;,http://www.rocketrange.no/40am,23/Sep/2013,13:03:05
94,208.109.181.178,"['503', '913']",WordPress/3.5.1;,http://ktrskateboardschool.com/Blog,23/Sep/2013,13:03:05
95,184.168.152.164,"['503', '913']",WordPress/3.2.1;,http://williamsonhospitality.com/blog,23/Sep/2013,13:03:05
96,89.151.72.46,"['503', '913']",WordPress/3.3.2;,http://www.bohomoth.com,23/Sep/2013,13:03:05
97,69.163.221.105,"['503', '913']",WordPress/3.6.1;,http://www.thenerdsignal.net,23/Sep/2013,13:03:04
98,66.96.183.86,"['503', '913']",WordPress/3.6.1;,http://www.foamcasualty.com,23/Sep/2013,13:03:05
99,50.23.23.2,"['503', '913']",WordPress/3.6.1;,http://thisainthell.us/blog,23/Sep/2013,13:03:05
100,96.126.114.56,"['503', '913']",WordPress/3.2.1;,http://www.mantisbt.org/blog,23/Sep/2013,13:03:05
101,128.122.157.182,"['503', '913']",WordPress/3.2.1;,http://itp.nyu.edu/~amb943/wordpress,23/Sep/2013,13:03:05
102,108.60.199.190,"['503', '913']",WordPress/3.4.2;,http://blog.themprinter.com,23/Sep/2013,13:03:05
103,82.165.139.53,"['503', '913']",WordPress/3.5.1;,http://chakra-project.es,23/Sep/2013,13:03:05
104,208.109.181.70,"['200', '8955']",WordPress/3.3.2;,http://www.pearlatcommerce.com,23/Sep/2013,13:02:52
105,67.192.153.92,"['503', '913']",WordPress/3.6.1;,http://views.ticas.org,23/Sep/2013,13:03:04
106,173.254.28.88,"['503', '913']",WordPress/3.5.1;,http://theoccupiedtimes.org,23/Sep/2013,13:03:05
107,50.87.144.43,"['503', '913']",WordPress/3.6;,http://sound-savvy.com,23/Sep/2013,13:03:05
108,50.22.104.181,"['503', '913']",WordPress/3.6.1;,http://www.healthintersections.com.au,23/Sep/2013,13:03:05
109,173.201.216.43,"['503', '913']",WordPress/3.5.2;,http://radiodanan.net,23/Sep/2013,13:03:05
110,184.173.73.183,"['503', '913']",WordPress/3.5.1;,http://rotoprofessor.com/football,23/Sep/2013,13:03:05
111,213.251.189.209,"['503', '913']",WordPress/3.4.2;,http://www.science-humour.fr,23/Sep/2013,13:03:05
112,66.155.9.41,"['503', '913']",WordPress/3.7-alpha-25157;,http://casalemedia.wordpress.com,23/Sep/2013,13:03:05
113,82.165.139.53,"['503', '913']",WordPress/3.5.1;,http://chakra-project.es,23/Sep/2013,13:03:05
114,94.136.40.100,"['503', '913']",WordPress/3.5.1;,http://www.disordermagazine.com,23/Sep/2013,13:03:05
115,184.168.152.79,"['503', '913']",WordPress/3.1.4;,http://27blueballoons.com,23/Sep/2013,13:03:05
116,74.208.180.165,"['503', '913']",WordPress/3.5.2;,http://gbenudu.com,23/Sep/2013,13:03:05
117,66.33.212.106,"['503', '913']",WordPress/2.9.2;,http://www.firepitminyan.com,23/Sep/2013,13:03:06
118,195.20.225.12,"['503', '913']",WordPress/3.5.1;,http://kimberleybartholomew.com/wordpress,23/Sep/2013,13:03:05
119,46.235.47.132,"['503', '913']",WordPress/3.6.1;,http://deniska.nl,23/Sep/2013,13:03:05
120,64.90.55.37,"['503', '913']",WordPress/3.6.1;,http://www.vegas24seven.com,23/Sep/2013,13:03:05
121,209.17.114.78,"['200', '8955']",WordPress/3.6;,http://www.gregorypark.org,23/Sep/2013,13:02:52
122,208.97.133.16,"['503', '913']",WordPress/3.5.1;,http://3cmusic.com/home,23/Sep/2013,13:03:05
123,64.6.225.7,"['503', '913']",WordPress/3.6;,http://www.gloveandboots.com,23/Sep/2013,13:03:06
124,94.231.101.88,"['503', '913']",WordPress/3.6.1;,http://blog.mariadenmark.com,23/Sep/2013,13:03:06
125,128.237.157.57,"['503', '913']",WordPress/3.1.3;,http://www.contrib.andrew.cmu.edu/~ryanod,23/Sep/2013,13:03:05
126,193.202.110.182,"['503', '913']",WordPress/3.6.1;,http://salaanmedia.com,23/Sep/2013,13:03:06
127,66.249.24.247,"['503', '913']",WordPress/3.0.1;,http://www.womensrightswithoutfrontiers.org/blog,23/Sep/2013,13:03:06
128,76.163.252.93,"['503', '913']",WordPress/3.5.2;,http://thevoterupdate.com/jones,23/Sep/2013,13:03:06
129,81.19.187.39,"['503', '913']",WordPress/3.5.2;,http://danhamilton.co.uk/blog,23/Sep/2013,13:03:06
130,97.74.24.35,"['503', '913']",WordPress/3.5.2;,http://blog.dougdvorak.com,23/Sep/2013,13:03:06
131,141.222.1.142,"['503', '913']",WordPress/3.4.2;,http://lib.skidmore.edu/digitalcollnews,23/Sep/2013,13:03:06
132,50.87.144.49,"['503', '913']",WordPress/3.6;,http://youcantbehelped.com,23/Sep/2013,13:03:05
133,66.155.8.59,"['503', '913']",WordPress/3.7-alpha-25157;,http://engageinnovate.wordpress.com,23/Sep/2013,13:03:05
134,188.121.41.178,"['503', '913']",WordPress/3.6;,http://www.ishabaydhaba.com,23/Sep/2013,13:03:05
135,108.59.11.107,"['503', '913']",WordPress/3.5.1;,http://pixelsea.biz,23/Sep/2013,13:03:05
136,66.155.8.98,"['503', '913']",WordPress/3.7-alpha-25157;,http://enndeakin.wordpress.com,23/Sep/2013,13:03:05
137,66.96.183.1,"['503', '913']",WordPress/3.2.1;,http://www.therealnewyorkers.com,23/Sep/2013,13:03:06
138,184.168.152.164,"['503', '913']",WordPress/3.2.1;,http://williamsonhospitality.com/blog,23/Sep/2013,13:03:05
139,208.113.181.215,"['503', '913']",WordPress/3.5.1;,http://offthekuff.com/wp,23/Sep/2013,13:03:06
140,178.63.14.147,"['503', '913']",WordPress/3.6.1;,http://www.brancaleoni.com/blog,23/Sep/2013,13:03:06
141,208.109.181.178,"['503', '913']",WordPress/3.5.1;,http://ktrskateboardschool.com/Blog,23/Sep/2013,13:03:06
142,128.100.176.230,"['503', '913']",WordPress/3.5.1;,http://askastudent.utoronto.ca,23/Sep/2013,13:03:06
143,203.170.85.168,"['503', '913']",WordPress/3.6.1;,http://blog.jamzarwebdesign.com.au,23/Sep/2013,13:03:06
144,184.168.46.105,"['503', '913']",WordPress/3.6.1;,http://thecontrariancorner.com,23/Sep/2013,13:03:06
145,97.74.24.215,"['200', '8955']",WordPress/3.6.1;,http://undead-earth.com/wordpress,23/Sep/2013,13:02:52
146,208.113.161.206,"['503', '913']",WordPress/3.6.1;,http://www.theyankeeandthemet.com,23/Sep/2013,13:03:06
147,128.100.176.230,"['503', '913']",WordPress/3.5.1;,http://askastudent.utoronto.ca,23/Sep/2013,13:03:06
148,66.147.244.96,"['503', '913']",WordPress/3.6.1;,http://www.amiraclebox.com/miracle,23/Sep/2013,13:03:06
149,85.17.150.103,"['503', '913']",WordPress/3.5.1;,http://www.lessfs.com/wordpress,23/Sep/2013,13:03:06
150,81.95.6.55,"['503', '913']",WordPress/3.0.4;,http://daemonkeeper.net,23/Sep/2013,13:03:06
151,184.106.10.128,"['503', '913']",WordPress/3.4.1;,http://www.jeffreyhollender.com,23/Sep/2013,13:03:07
152,74.220.215.243,"['503', '913']",WordPress/3.6;,http://www.k9ventures.com,23/Sep/2013,13:03:06
153,66.228.46.254,"['503', '913']",WordPress/3.6.1;,http://slinkingtowardretirement.com,23/Sep/2013,13:03:07
154,66.96.183.8,"['503', '913']",WordPress/3.6.1;,http://appletvblog.ru,23/Sep/2013,13:03:06
155,184.168.152.79,"['503', '913']",WordPress/3.1.4;,http://27blueballoons.com,23/Sep/2013,13:03:06
156,69.89.31.131,"['503', '913']",WordPress/3.6.1;,http://www.pkeu.net/blog,23/Sep/2013,13:03:06
157,66.147.242.154,"['503', '913']",WordPress/2.9.1;,http://www.reifflawoffice.com/business-planning-blog,23/Sep/2013,13:03:06
158,195.74.38.68,"['503', '913']",WordPress/3.2.1;,http://jon-olsson.com,23/Sep/2013,13:03:06
159,81.19.187.39,"['503', '913']",WordPress/3.5.2;,http://danhamilton.co.uk/blog,23/Sep/2013,13:03:06
160,69.195.124.71,"['503', '913']",WordPress/3.5.2;,http://www.newdadtimes.com,23/Sep/2013,13:03:06
161,217.69.89.175,"['503', '913']",WordPress/3.2.1;,http://blogs.fsfe.org/greve,23/Sep/2013,13:03:05
162,66.248.200.164,"['503', '913']",WordPress/3.6;,http://cockroachalley.com,23/Sep/2013,13:03:06
163,66.147.244.162,"['503', '913']",WordPress/3.4.1;,http://www.lawrenceperson.com,23/Sep/2013,13:03:06
164,188.121.41.140,"['503', '913']",WordPress/3.0.2;,http://www.cakefantasia.com,23/Sep/2013,13:03:06
165,130.127.235.169,"['503', '913']",-,,23/Sep/2013,13:03:06
166,62.149.130.54,"['503', '913']",WordPress/3.5.1;,http://www.madonninacalcio.it,23/Sep/2013,13:03:07
167,184.106.10.128,"['503', '913']",WordPress/3.4.1;,http://www.jeffreyhollender.com,23/Sep/2013,13:03:07
168,66.147.244.242,"['503', '913']",WordPress/3.5.1;,http://www.savenyclibraries.com,23/Sep/2013,13:03:06
169,64.111.127.183,"['503', '913']",WordPress/3.6.1;,http://www.mightylittlelibrarian.com,23/Sep/2013,13:03:07
170,205.251.135.202,"['503', '913']",WordPress/3.5.2;,http://www.wizdommusic.com/news,23/Sep/2013,13:03:06
171,65.254.224.35,"['503', '913']",WordPress/3.5.1;,http://www.abbeville.com/blog,23/Sep/2013,13:03:07
172,70.32.98.112,"['503', '913']",WordPress/3.6.1;,http://demo.gavick.com/wordpress/fest,23/Sep/2013,13:03:07
173,213.251.189.209,"['503', '913']",WordPress/3.4.2;,http://www.science-humour.fr,23/Sep/2013,13:03:07
174,193.202.110.182,"['503', '913']",WordPress/3.6.1;,http://salaanmedia.com,23/Sep/2013,13:03:07
175,176.32.230.9,"['503', '913']",WordPress/3.2.1;,http://www.storagebod.com/wordpress,23/Sep/2013,13:03:07
176,109.104.94.183,"['503', '913']",WordPress/3.6;,http://quantumtrading.com,23/Sep/2013,13:03:07
177,66.96.183.1,"['503', '913']",WordPress/3.2.1;,http://www.therealnewyorkers.com,23/Sep/2013,13:03:07
178,195.74.38.68,"['503', '913']",WordPress/3.2.1;,http://jon-olsson.com,23/Sep/2013,13:03:07
179,173.254.28.45,"['503', '913']",WordPress/3.1;,http://brewvana.net,23/Sep/2013,13:03:07
180,66.96.183.2,"['503', '913']",WordPress/3.5.2;,http://www.isledejeancharles.com/news,23/Sep/2013,13:03:07
181,91.184.18.50,"['503', '913']",WordPress/3.5.1;,http://sociedia.com,23/Sep/2013,13:03:07
182,50.87.122.237,"['503', '913']",WordPress/3.6.1;,http://extranosalley.com,23/Sep/2013,13:03:07
183,74.220.207.118,"['503', '913']",WordPress/3.3.1;,http://dreamerkid.com,23/Sep/2013,13:03:07
184,129.121.178.221,"['503', '913']",WordPress/3.5.1;,http://www.benzilla.com,23/Sep/2013,13:03:07
185,69.195.124.71,"['503', '913']",WordPress/3.5.2;,http://www.newdadtimes.com,23/Sep/2013,13:03:07
186,69.163.231.72,"['503', '913']",WordPress/3.5.1;,http://securityandthe.net,23/Sep/2013,13:03:07
187,66.155.8.213,"['503', '913']",WordPress/3.7-alpha-25157;,http://usresponserestoration.wordpress.com,23/Sep/2013,13:03:07
188,85.17.150.103,"['503', '913']",WordPress/3.5.1;,http://www.lessfs.com/wordpress,23/Sep/2013,13:03:07
189,94.136.40.100,"['503', '913']",WordPress/3.6.1;,http://www.afrobyte.co.uk,23/Sep/2013,13:03:06
190,64.191.50.218,"['503', '913']",WordPress/3.6.1;,http://www.cocorioko.net,23/Sep/2013,13:03:07
191,66.96.183.15,"['503', '913']",WordPress/3.6;,http://guyana-tourism.com/blog,23/Sep/2013,13:03:07
192,194.63.248.80,"['503', '913']",WordPress/3.5.1;,http://olavz.com,23/Sep/2013,13:03:07
193,64.90.52.169,"['503', '913']",WordPress/3.6.1;,http://www.millerandmike.com,23/Sep/2013,13:03:07
194,69.61.45.228,"['503', '913']",WordPress/3.6;,http://dont-tread-on.me,23/Sep/2013,13:03:07
195,94.136.40.100,"['503', '913']",WordPress/3.6.1;,http://www.afrobyte.co.uk,23/Sep/2013,13:03:07
196,108.168.242.146,"['503', '913']",WordPress/3.6.1;,http://picklemethis.com,23/Sep/2013,13:03:07
197,188.121.41.140,"['503', '913']",WordPress/3.5.1;,http://wordpress.enbc.eu,23/Sep/2013,13:03:07
198,64.111.126.29,"['503', '913']",WordPress/3.6.1;,http://3aocubo.net,23/Sep/2013,13:03:07
199,74.54.18.226,"['503', '913']",WordPress/3.5.2;,http://digitalliteracynh.org,23/Sep/2013,13:03:07
200,91.184.18.50,"['503', '913']",WordPress/3.5.1;,http://sociedia.com,23/Sep/2013,13:03:07
